" ""ilu"" : 4"," ""datetime"" : { ""$date"" : ""2015-07-07T01:35:54.925+0900"" }"," ""time"" : ""16:35:54.925"""," ""rssi"" : -51 }"
" ""ilu"" : 4"," ""datetime"" : { ""$date"" : ""2015-07-07T01:34:55.241+0900"" }"," ""time"" : ""16:34:55.241"""," ""rssi"" : -51 }"
" ""ilu"" : 4"," ""datetime"" : { ""$date"" : ""2015-07-07T01:33:55.579+0900"" }"," ""time"" : ""16:33:55.579"""," ""rssi"" : -51 }"
" ""ilu"" : 4"," ""datetime"" : { ""$date"" : ""2015-07-07T01:32:55.913+0900"" }"," ""time"" : ""16:32:55.913"""," ""rssi"" : -51 }"
" ""ilu"" : 4"," ""datetime"" : { ""$date"" : ""2015-07-07T01:31:55.309+0900"" }"," ""time"" : ""16:31:55.309"""," ""rssi"" : -51 }"
" ""ilu"" : 4"," ""datetime"" : { ""$date"" : ""2015-07-07T01:30:55.515+0900"" }"," ""time"" : ""16:30:55.515"""," ""rssi"" : -51 }"
" ""ilu"" : 4"," ""datetime"" : { ""$date"" : ""2015-07-07T01:29:55.750+0900"" }"," ""time"" : ""16:29:55.750"""," ""rssi"" : -51 }"
" ""ilu"" : 4"," ""datetime"" : { ""$date"" : ""2015-07-07T01:28:56.078+0900"" }"," ""time"" : ""16:28:56.078"""," ""rssi"" : -51 }"
" ""ilu"" : 4"," ""datetime"" : { ""$date"" : ""2015-07-07T01:27:56.403+0900"" }"," ""time"" : ""16:27:56.403"""," ""rssi"" : -51 }"
" ""ilu"" : 4"," ""datetime"" : { ""$date"" : ""2015-07-07T01:26:56.726+0900"" }"," ""time"" : ""16:26:56.726"""," ""rssi"" : -51 }"
" ""ilu"" : 4"," ""datetime"" : { ""$date"" : ""2015-07-07T01:25:57.048+0900"" }"," ""time"" : ""16:25:57.048"""," ""rssi"" : -51 }"
" ""ilu"" : 4"," ""datetime"" : { ""$date"" : ""2015-07-07T01:24:57.363+0900"" }"," ""time"" : ""16:24:57.363"""," ""rssi"" : -51 }"
" ""ilu"" : 4"," ""datetime"" : { ""$date"" : ""2015-07-07T01:23:57.681+0900"" }"," ""time"" : ""16:23:57.681"""," ""rssi"" : -51 }"
" ""ilu"" : 4"," ""datetime"" : { ""$date"" : ""2015-07-07T01:22:58.008+0900"" }"," ""time"" : ""16:22:58.008"""," ""rssi"" : -51 }"
" ""ilu"" : 4"," ""datetime"" : { ""$date"" : ""2015-07-07T01:21:58.322+0900"" }"," ""time"" : ""16:21:58.322"""," ""rssi"" : -51 }"
" ""ilu"" : 4"," ""datetime"" : { ""$date"" : ""2015-07-07T01:20:58.639+0900"" }"," ""time"" : ""16:20:58.639"""," ""rssi"" : -51 }"
" ""ilu"" : 4"," ""datetime"" : { ""$date"" : ""2015-07-07T01:19:58.955+0900"" }"," ""time"" : ""16:19:58.955"""," ""rssi"" : -51 }"
" ""ilu"" : 4"," ""datetime"" : { ""$date"" : ""2015-07-07T01:18:59.269+0900"" }"," ""time"" : ""16:18:59.269"""," ""rssi"" : -51 }"
" ""ilu"" : 4"," ""datetime"" : { ""$date"" : ""2015-07-07T01:17:59.587+0900"" }"," ""time"" : ""16:17:59.587"""," ""rssi"" : -51 }"
" ""ilu"" : 4"," ""datetime"" : { ""$date"" : ""2015-07-07T01:16:59.907+0900"" }"," ""time"" : ""16:16:59.907"""," ""rssi"" : -51 }"
" ""ilu"" : 4"," ""datetime"" : { ""$date"" : ""2015-07-07T01:15:00.627+0900"" }"," ""time"" : ""16:15:00.627"""," ""rssi"" : -51 }"
" ""ilu"" : 4"," ""datetime"" : { ""$date"" : ""2015-07-07T01:14:00.932+0900"" }"," ""time"" : ""16:14:00.932"""," ""rssi"" : -51 }"
" ""ilu"" : 5"," ""datetime"" : { ""$date"" : ""2015-07-07T01:13:01.258+0900"" }"," ""time"" : ""16:13:01.258"""," ""rssi"" : -51 }"
" ""ilu"" : 4"," ""datetime"" : { ""$date"" : ""2015-07-07T01:12:01.571+0900"" }"," ""time"" : ""16:12:01.571"""," ""rssi"" : -51 }"
" ""ilu"" : 5"," ""datetime"" : { ""$date"" : ""2015-07-07T01:11:02.860+0900"" }"," ""time"" : ""16:11:02.860"""," ""rssi"" : -51 }"
" ""ilu"" : 5"," ""datetime"" : { ""$date"" : ""2015-07-07T01:10:03.196+0900"" }"," ""time"" : ""16:10:03.196"""," ""rssi"" : -51 }"
" ""ilu"" : 5"," ""datetime"" : { ""$date"" : ""2015-07-07T01:09:03.518+0900"" }"," ""time"" : ""16:09:03.518"""," ""rssi"" : -51 }"
" ""ilu"" : 5"," ""datetime"" : { ""$date"" : ""2015-07-07T01:08:03.876+0900"" }"," ""time"" : ""16:08:03.876"""," ""rssi"" : -51 }"
" ""ilu"" : 5"," ""datetime"" : { ""$date"" : ""2015-07-07T01:07:04.186+0900"" }"," ""time"" : ""16:07:04.186"""," ""rssi"" : -51 }"
" ""ilu"" : 5"," ""datetime"" : { ""$date"" : ""2015-07-07T01:06:04.512+0900"" }"," ""time"" : ""16:06:04.512"""," ""rssi"" : -51 }"
" ""ilu"" : 5"," ""datetime"" : { ""$date"" : ""2015-07-07T01:05:04.826+0900"" }"," ""time"" : ""16:05:04.826"""," ""rssi"" : -51 }"
" ""ilu"" : 6"," ""datetime"" : { ""$date"" : ""2015-07-07T01:04:05.150+0900"" }"," ""time"" : ""16:04:05.150"""," ""rssi"" : -51 }"
" ""ilu"" : 6"," ""datetime"" : { ""$date"" : ""2015-07-07T01:03:05.482+0900"" }"," ""time"" : ""16:03:05.482"""," ""rssi"" : -51 }"
